id,title,type,amount,date,category,account
127,Office Supplies,Expense,83.0,08-06-2026,Operations,Credit Card
128,Client Project,Income,4100.0,08-11-2026,Sales,Savings
129,Travel Expenses,Expense,530.0,08-16-2026,Operations,PayPal
130,Advertising,Expense,310.0,08-21-2026,Marketing,Business Account
131,Freelancer Payment,Expense,880.0,08-26-2026,Payroll,Checking
132,Product Sale,Income,1120.0,09-01-2026,Sales,Credit Card
133,Office Cleaning,Expense,155.0,09-06-2026,Operations,Savings
134,Software Upgrade,Expense,155.0,09-11-2026,Technology,PayPal
135,Consulting Fee,Income,2600.0,09-16-2026,Services,Business Account
136,Phone Bill,Expense,73.0,09-21-2026,Operations,Checking
137,Employee Bonus,Expense,780.0,09-26-2026,Payroll,Credit Card
138,Workshop Materials,Expense,260.0,10-01-2026,Operations,Savings
139,Client Payment,Income,3500.0,10-06-2026,Sales,PayPal
140,Office Furniture,Expense,730.0,10-11-2026,Operations,Business Account
141,Social Media Ads,Expense,185.0,10-16-2026,Marketing,Checking
142,Training Session,Income,930.0,10-21-2026,Services,Credit Card
143,Employee Salary,Expense,3500.0,10-26-2026,Payroll,Savings
144,Domain Renewal,Expense,16.0,11-01-2026,Technology,PayPal
145,Product Sale,Income,900.0,11-06-2026,Sales,Business Account
146,Office Supplies,Expense,90.0,11-11-2026,Operations,Checking
147,Consulting Fee,Income,2300.0,11-16-2026,Services,Credit Card
148,Equipment Purchase,Expense,1400.0,11-21-2026,Operations,Savings
149,Client Retainer,Income,1800.0,11-26-2026,Sales,PayPal
150,Utility Bill,Expense,215.0,12-01-2026,Operations,Business Account
151,Software Upgrade,Expense,140.0,12-06-2026,Technology,Checking
152,Workshop Income,Income,1650.0,12-11-2026,Services,Credit Card
153,Office Rent,Expense,1200.0,12-16-2026,Operations,Savings
154,Marketing Materials,Expense,330.0,12-21-2026,Marketing,PayPal
155,Product Sale,Income,1000.0,12-26-2026,Sales,Business Account
156,Internet Service,Expense,88.0,01-01-2027,Technology,Checking
157,Client Project,Income,4300.0,01-06-2027,Services,Credit Card
158,Travel Expenses,Expense,560.0,01-11-2027,Operations,Savings
159,Employee Salary,Expense,3500.0,01-16-2027,Payroll,PayPal
160,Advertising,Expense,230.0,01-21-2027,Marketing,Business Account
161,Consulting Fee,Income,2800.0,01-26-2027,Services,Checking
162,Office Supplies,Expense,100.0,01-31-2027,Operations,Credit Card
163,Software Subscription,Expense,49.0,02-05-2027,Technology,Savings
164,Product Sale,Income,750.0,02-10-2027,Sales,PayPal
165,Phone Bill,Expense,80.0,02-15-2027,Operations,Business Account
166,Client Payment,Income,2600.0,02-20-2027,Sales,Checking
167,Equipment Maintenance,Expense,180.0,02-25-2027,Operations,Credit Card
168,Workshop Income,Income,1100.0,03-02-2027,Services,Savings
169,Office Cleaning,Expense,140.0,03-07-2027,Operations,PayPal
170,Social Media Ads,Expense,160.0,03-12-2027,Marketing,Business Account
171,Consulting Project,Income,3600.0,03-17-2027,Services,Checking
172,Employee Bonus,Expense,700.0,03-22-2027,Payroll,Credit Card
173,Website Maintenance,Expense,90.0,03-27-2027,Technology,Savings
174,Product Sale,Income,1200.0,04-01-2027,Sales,PayPal
175,Utility Bill,Expense,190.0,04-06-2027,Operations,Business Account
176,Client Retainer,Income,2000.0,04-11-2027,Services,Checking
177,Marketing Campaign,Expense,380.0,04-16-2027,Marketing,Credit Card
178,Employee Salary,Expense,3500.0,04-21-2027,Payroll,Savings
179,Software License,Expense,290.0,04-26-2027,Technology,PayPal
180,Product Sale,Income,1000.0,05-01-2027,Sales,Business Account
181,Office Rent,Expense,1200.0,05-06-2027,Operations,Checking
182,Training Workshop,Income,1500.0,05-11-2027,Services,Credit Card
183,Office Supplies,Expense,80.0,05-16-2027,Operations,Savings
184,Client Project,Income,4000.0,05-21-2027,Sales,PayPal
185,Travel Expenses,Expense,520.0,05-26-2027,Operations,Business Account
186,Advertising,Expense,300.0,05-31-2027,Marketing,Checking
187,Freelancer Payment,Expense,850.0,06-05-2027,Payroll,Credit Card
188,Product Sale,Income,1100.0,06-10-2027,Sales,Savings
189,Office Cleaning,Expense,150.0,06-15-2027,Operations,PayPal
190,Software Upgrade,Expense,150.0,06-20-2027,Technology,Business Account
191,Consulting Fee,Income,2500.0,06-25-2027,Services,Checking
192,Phone Bill,Expense,70.0,06-30-2027,Operations,Credit Card
193,Employee Bonus,Expense,750.0,07-05-2027,Payroll,Savings
194,Workshop Materials,Expense,250.0,07-10-2027,Operations,PayPal
195,Client Payment,Income,3400.0,07-15-2027,Sales,Business Account
196,Office Furniture,Expense,700.0,07-20-2027,Operations,Checking
197,Social Media Ads,Expense,180.0,07-25-2027,Marketing,Credit Card
198,Training Session,Income,900.0,07-30-2027,Services,Savings
199,Employee Salary,Expense,3500.0,08-04-2027,Payroll,PayPal
200,Domain Renewal,Expense,15.0,08-09-2027,Technology,Business Account
